0.5	376
1.5	390
2.5	370
3.5	371
4.5	397
5.5	383
6.5	364
7.5	341
8.5	369
9.5	374
10.5	386
11.5	380
12.5	344
13.5	357
14.5	370
15.5	356
16.5	405
17.5	353
18.5	387
19.5	379
20.5	382
21.5	402
22.5	401
23.5	429
24.5	369
25.5	368
26.5	332
27.5	368
28.5	359
29.5	423
30.5	381
31.5	355
32.5	361
33.5	383
34.5	371
35.5	360
36.5	363
37.5	370
38.5	375
39.5	373
40.5	316
41.5	418
42.5	374
43.5	389
44.5	382
45.5	381
46.5	348
47.5	361
48.5	401
49.5	404
50.5	323
51.5	393
52.5	378
53.5	386
54.5	381
55.5	408
56.5	363
57.5	395
58.5	367
59.5	357
60.5	401
61.5	372
62.5	382
63.5	340
64.5	390
65.5	361
66.5	395
67.5	364
68.5	392
69.5	382
70.5	359
71.5	368
72.5	354
73.5	367
74.5	378
75.5	415
76.5	374
77.5	396
78.5	351
79.5	385
80.5	390
81.5	364
82.5	400
83.5	403
84.5	358
85.5	391
86.5	385
87.5	374
88.5	388
89.5	355
90.5	393
91.5	376
92.5	379
93.5	385
94.5	392
95.5	395
96.5	403
97.5	357
98.5	387
99.5	409
100.5	438
101.5	359
102.5	363
103.5	412
104.5	363
105.5	391
106.5	394
107.5	373
108.5	392
109.5	392
110.5	370
111.5	357
112.5	366
113.5	386
114.5	392
115.5	375
116.5	400
117.5	396
118.5	397
119.5	396
120.5	379
121.5	352
122.5	391
123.5	391
124.5	362
125.5	391
126.5	403
127.5	405
128.5	390
129.5	392
130.5	381
131.5	391
132.5	366
133.5	394
134.5	401
135.5	402
136.5	371
137.5	375
138.5	374
139.5	385
140.5	418
141.5	411
142.5	396
143.5	356
144.5	371
145.5	378
146.5	407
147.5	385
148.5	391
149.5	368
150.5	399
151.5	364
152.5	384
153.5	355
154.5	417
155.5	395
156.5	390
157.5	374
158.5	365
159.5	380
160.5	390
161.5	393
162.5	352
163.5	406
164.5	346
165.5	378
166.5	420
167.5	390
168.5	363
169.5	353
170.5	397
171.5	381
172.5	377
173.5	391
174.5	383
175.5	402
176.5	363
177.5	411
178.5	436
179.5	409
180.5	390
181.5	375
182.5	369
183.5	364
184.5	366
185.5	388
186.5	359
187.5	422
188.5	405
189.5	379
190.5	338
191.5	363
192.5	390
193.5	377
194.5	387
195.5	374
196.5	362
197.5	379
198.5	335
199.5	397
200.5	383
201.5	391
202.5	355
203.5	372
204.5	411
205.5	363
206.5	373
207.5	361
208.5	375
209.5	410
210.5	385
211.5	383
212.5	365
213.5	387
214.5	450
215.5	495
216.5	485
217.5	523
218.5	465
